geneNames	GSM2233086	GSM2233087	GSM2233088	GSM2233089	GSM2233090	GSM2233091	GSM2233092	GSM2233093	GSM2233094	GSM2233095	GSM2233096	GSM2233097	GSM2233098	GSM2233099	GSM2233100	GSM2233101	GSM2233102	GSM2233103	GSM2233104	GSM2233105	GSM2233106	GSM2233107	GSM2233108	GSM2233109	GSM2233110	GSM2233111	GSM2233112	GSM2233113
A1BG	446.2	2654.1	1644.2	2315.2	2378.3	1992.9	204.1	3182.7	241.1	2593.8	605.5	1419.6	438.4	1536.3	2873.8	3344	999.9	2159.8	553.8	2422.1	1941.4	2992.1	641.7	1022.4	282.2	1242.1	256.5	1304.1
A1BG-AS1	4.8	4.6	3.5	2.6	2.9	4.3	3.1	2.1	3	1.7	1.4	6.2	5.4	2.1	2.4	4.6	2.1	1.8	3.3	2.4	2.8	3.6	2.7	16.4	9.1	2.7	2.8	4.1
A1CF	337.45	1159.9	1122.8	1306.25	1185.05	861.1	169.9	871.7	861.45	835.45	554.25	554.2	1376.35	343.6	1816.05	1472.3	446.2	1029.25	213.5	1056.4	928.4	1283.45	342.25	299.05	321.2	423.4	424.15	985.25
A2M	138.9	2746.35	2345.1	2949.8	3437.15	2133.25	427.2	1902.25	454.2	1661.4	1800.7	1493.85	1149.05	1084.75	1069.9	2110.5	2317.3	2226.15	734.9	1863.7	2167.4	2879.75	1162.9	981.6	1009.3	1394.95	1069.3	2061.75
A2M-AS1	12.5	59.3	44.5	69.5	26.3	21.5	35.2	17.1	36.3	20.7	24	36.1	29.4	20.8	21	29.7	13.1	24.9	24.5	18.3	49.5	39.4	25	19.5	21	24.1	29.1	31.5
A2ML1	5.6	11	13.6	7.1	6.3	6.6	11	10.3	8.95	8.25	6.4	6.4	6.75	11.05	6.75	8	8.25	1.45	4.05	8.3	1.8	9.45	8.15	1.3	2	1.9	3.8	2.05
A2MP1	8.8	5.5	7.7	4.4	2.5	2	2.1	7.6	2.1	2.5	0.8	3.5	3.3	6.5	2.2	14.6	0.7	3.2	5.2	8.3	0.4	3.5	1.8	0.6	0.3	2.1	5	8.8
A4GALT	7.3	13.4	15.3	5.7	6.4	4.1	4.6	6.9	3.4	3	3.9	6.5	3.9	16.7	8.1	11.3	4.1	3	6.3	7.2	5.6	4.2	9.7	5.2	7.3	8.9	8	4.1
A4GNT	13.4	20	20.2	19.9	18.5	1.7	22.9	5.7	14.9	11.8	10.5	2.2	20	13.7	3.9	15.6	11.3	13.4	80.6	9.3	14.3	9.7	8.9	7.6	9.3	7.5	5.4	5.6
AA06	22.3	33.2	15	12.5	34.1	4.4	20	14.5	29.6	12.2	14.3	30.3	29.6	20.5	33.2	14	8.9	13.8	15	6.9	18.3	16.3	25.2	8.9	17.6	11.6	27.1	23.8
AAAS	21.4	28.8	27	25.4	30.6	16.7	56.7	36	46.9	16.2	31.5	21.3	108.9	32.1	60.4	38.3	29.4	15.5	51.7	24.9	56.4	34.6	30.1	4.5	22.8	10.4	52.4	14.9
AACS	25.7	62.3	87	26.6	66	54.4	253.5	39.4	132.4	28.1	91	29.7	121.7	66.6	77.1	45.9	36.9	40.3	98.8	20.1	282.7	44.4	63.5	38.8	64.7	25.1	128.5	21.6
AACSP1	2.1	9.9	1	2.1	4.4	12.7	20.9	4.8	1.7	12.2	2	1.2	1.2	3.4	22.6	2.4	6.8	10	6.8	2.2	8.6	7	0.9	8.7	5.1	0.9	12.3	6.8
AADAC	635.2	2413	1310	1633.9	3876.3	1441.1	173.6	2314.9	1215.8	1423.8	314	1076.5	277.4	584	3189.4	2295	532	980.4	497.3	1641.8	2189.1	1612.8	178.1	494.6	334.9	439	477.8	1262.1
AADACL2	2.6	0.5	1	3.6	14.3	1.4	1	6.3	7.5	4.1	8.1	1.4	5.3	3.4	9	10.8	4.7	6.8	4.4	4.5	7.5	5.2	5.5	12.9	0.2	3.7	0.9	3.3
AADACP1	13.1	41.4	33.3	38	33.7	27.9	22.4	29.4	69.8	53.7	15.6	19	14.9	11.4	55.7	27.9	3.7	19.5	6.8	44.2	80	72.1	13.8	10	4.1	13.9	22.9	23.6
AADAT	2.2	95.3	87.9	136.3	28.2	94.1	64	111.8	46.7	113.7	9.8	78.3	26.2	51.6	49.3	103.6	9.3	139	51.4	258	23.3	295.4	10.4	26.8	15.4	45.5	23.8	68.7
AAED1	8.6	84	112.4	31.3	89.8	55.3	66.9	50.6	78.3	59.1	28.6	9.4	134.6	78	83.8	54.6	16.6	32.7	55	29.6	261.6	41.9	44.5	60.2	50.2	29	86	48.8
AAGAB	6	44.9666666666667	36.1333333333333	22.5	54.5	18.6666666666667	28.6666666666667	32.8	51.0666666666667	26.5666666666667	13.3666666666667	10.5333333333333	47	22.8	58.4333333333333	38.5	20.8333333333333	12	28.7	19.1333333333333	43.3666666666667	16.1	13.2	15.7666666666667	17.7333333333333	9.13333333333333	39.7333333333333	21.4666666666667
AAK1	12.6428571428571	42.3	42	27.3	48.4	28.5714285714286	33.1714285714286	31.3142857142857	54.0714285714286	26.7857142857143	26.4142857142857	25.1285714285714	33.6571428571429	27.9714285714286	52.9428571428571	40.5714285714286	25.8142857142857	22.4285714285714	36.4285714285714	19.3428571428571	54.1571428571429	21.5	17.8285714285714	28.6428571428571	25.2285714285714	28.1142857142857	24.1571428571429	31.4285714285714
AAMDC	31.6333333333333	77.3333333333333	129	69	125.2	53.4666666666667	106.133333333333	56.6333333333333	97.3666666666667	41.3666666666667	61.7	53.4	52.0333333333333	40.6333333333333	101.6	80.2333333333333	43.5	55.3333333333333	55.1666666666667	57.5666666666667	154.766666666667	89.8	32.2333333333333	36.8333333333333	62.3666666666667	46.8	35.7333333333333	64.2333333333333
AAMP	44.7	109.8	172	104	302	144.3	222	152.8	380.2	104.2	94.8	77.5	219.3	144.8	235.3	203.8	81.4	142.7	134.7	132.7	181.5	233.8	86	66.6	52.4	72.7	98.3	129.5
AANAT	0.9	8.8	1.5	1.8	1	0.9	1.9	1.6	0.6	1.1	0.6	2.4	1.1	1.3	2.7	3.2	5	0.5	12.8	1.7	3.7	1.1	3.5	2.1	0.3	0.8	0.9	4.2
AAR2	39.2	93	126.8	72	127.7	82.4	129.7	75.6	77.4	37.8	89.7	39.7	224.1	85.7	207.4	117	63.2	57	77.2	41.1	111.9	91.5	82.5	56	60.9	34.7	88.9	80.2
