ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
GSM1523329	0.472168059	0.395460915	0.680516534	0.724112605	6.400966199	0.054920941	-28.89180158	Normal
GSM1523330	0.328930679	0.34934825	0.390713987	0.134706229	5.146039324	0.166498568	-53.91771988	Normal
GSM1523331	0.306077638	0.515491931	0.468344147	0.448655338	5.002359171	0.582293578	-7.995332406	Normal
GSM1523332	0.121309855	0.444272287	0.043381987	0	5.088791692	0.617211843	-43.07599276	Normal
GSM1523333	0.324273758	0.422776032	0.294791357	1.092271723	5.490133298	0.097141477	-9.141144782	Normal
GSM1523334	0.368744693	0.496058486	0.715008728	0.240727582	5.140106915	0.1343259	-39.96137585	Normal
GSM1523335	0.405263759	0.127984845	0	0.46311687	5.192550618	0.44460894	-32.28462516	Normal
GSM1523336	0.314594825	0.46602468	0.583511907	0.480393354	5.852902652	0.613082989	-10.04364011	Normal
GSM1523337	0.38187883	0.337973508	0.370694241	0.395973885	5.817873931	0.476526534	-27.28858489	Normal
GSM1523338	0.50462803	0.320061122	0.422472423	0.938332862	6.095476555	0.142784668	-16.0459187	Normal
GSM1523339	0.28760345	0.814777788	0.868557357	2.058641247	0.658834138	0.853003125	137.208993	Tumor
GSM1523340	0.494293412	0.23931292	0.892836857	1.405268923	0.99982433	1.650905821	132.9870007	Tumor
GSM1523341	0.323689111	0.418200849	0.719157848	1.63584263	0.811467676	0.550024377	84.40113262	Tumor
GSM1523342	0.494656369	0.957018548	1.537952354	2.203104286	1.315852576	0.68498944	149.9165864	Tumor
GSM1523343	0.271030237	0.775107032	0.924444117	2.083881044	1.381286762	0.318922091	103.3784451	Tumor
GSM1523344	0.321915895	0.732166483	1.199373597	2.119735137	0.119062068	0.898374629	150.4410295	Tumor
GSM1523345	0.502368851	0.645110246	0.910316369	2.207031329	1.001773521	0.738533372	136.8292681	Tumor
GSM1523346	0.31782985	0.32117276	0.642146249	1.458578311	1.578265238	0.420484753	58.38224477	Tumor
GSM1523347	0.487132961	0.565455592	1.26118808	2.660787731	0.626350189	1.056386876	184.0098748	Tumor
GSM1523348	0.256692218	0.512050599	1.172763221	0.929428634	2.343949525	0.662845573	50.75134563	Tumor
GSM1523349	0.168580539	1.105602013	1.318134936	0.843965925	0.837992288	0.911828923	87.66126901	Tumor
GSM1523350	0.641982488	1.45172344	1.110039409	1.187846757	0.377594265	0.720723112	115.1007795	Tumor
GSM1523351	0.522241586	0.552875309	0.842486302	2.139228324	1.641195559	0.508825176	112.8094833	Tumor
GSM1523352	0.648672077	0.601497468	1.417204703	2.334895535	0.224272817	0.099481938	123.8191534	Tumor
GSM1523353	0.574223174	0.381264753	0.978014808	1.738852542	0.761069981	0.38144832	89.34630495	Tumor
GSM1523354	0.248647346	0.412405617	0.371266836	1.899823757	3.361255054	0.924611058	93.60443233	Tumor
GSM1523355	0.461590625	0.454483509	0.843827637	1.332185301	2.221323504	1.033611012	90.93587701	Tumor
GSM1523356	0.774360794	0.314527877	0.903821479	2.547434203	0.351407199	0.49927449	142.7483789	Tumor
GSM1523357	0.347468724	0.994348059	0.752620085	1.166941929	0.522676966	0.586948663	80.83947001	Tumor
GSM1523358	0.322320357	0.869044895	0.990442095	1.956836728	0.868728502	0.62223662	121.8005126	Tumor
GSM1523359	0.376686133	0.525593455	0.928121814	0.378241035	0.168905143	0.880061185	48.13807244	Tumor
GSM1523360	0.588317383	0.52850555	0.67202408	2.090101632	0.865183731	0.965623166	138.9562514	Tumor
GSM1523361	0.383441132	1.278149382	1.378292214	1.125841532	0.19754911	0.334192174	85.64242339	Tumor
GSM1523362	0.412866281	0.717849369	1.126592264	0.55748118	1.841662053	1.456242086	86.77743043	Tumor
GSM1523363	0.703726436	1.169607336	1.126787285	1.531601059	0.545023458	0	86.04801743	Tumor
GSM1523364	0.27423267	0.425803939	0.794531342	1.499467022	1.029457772	0.44549621	70.2238884	Tumor
GSM1523365	0.371654324	0.997233074	1.236502447	1.098248209	0.433045684	0.747624931	94.96238359	Tumor
GSM1523366	0.565817404	0.470854509	1.045451467	1.646427688	0.258911062	0.029474999	72.01298053	Tumor
