id	logFC	AveExpr	t	P.Value	adj.P.Val	B
CLEC4M	-2.462745232	0.413849823	-35.67997182	1.36E-129	2.63E-125	284.2501396
CLEC1B	-1.543388619	0.273100024	-33.05896683	2.83E-119	2.74E-115	260.8405148
STAB2	-1.392065673	0.289441188	-31.3126547	3.40E-112	2.20E-108	244.7553323
BMPER	-0.973152684	0.208547922	-29.39370063	3.14E-104	1.52E-100	226.6444435
GDF2	-2.796744227	0.585622398	-28.83811656	6.87E-102	2.66E-98	221.3190689
BMP10	-1.092251615	0.203558545	-28.08352119	1.09E-98	3.53E-95	214.0298046
FCN2	-4.418608722	1.402015004	-25.58988627	6.32E-88	1.75E-84	189.5141394
CRHBP	-3.667803304	1.199172217	-24.70336585	4.85E-84	1.18E-80	180.6577889
COLEC10	-2.797999805	0.957263847	-24.05444191	3.52E-81	7.58E-78	174.1353692
MARCO	-4.067711887	1.273122366	-23.80772904	4.34E-80	8.40E-77	171.6476751
PLVAP	3.087324334	4.971934778	23.76544754	6.67E-80	1.18E-76	171.2209225
VIPR1	-1.497148373	0.554293983	-23.50654437	9.35E-79	1.51E-75	168.6052485
NTF3	-1.045093275	0.354825956	-22.82894879	9.56E-76	1.42E-72	161.7405621
ANGPTL6	-1.791739335	1.113844639	-21.40245413	2.21E-69	3.06E-66	147.2191207
FCN3	-4.048162304	1.909142046	-21.02537497	1.07E-67	1.39E-64	143.3700961
ADAMTS13	-1.577861886	1.206420755	-20.17301498	6.99E-64	8.47E-61	134.6636382
PTH1R	-2.054502742	1.10200672	-19.28546968	6.51E-60	7.42E-57	125.6023747
NDST3	-0.21135887	0.043093516	-19.11584202	3.72E-59	4.01E-56	123.87265
CXCL14	-3.198945652	1.134775084	-18.82580485	7.33E-58	7.48E-55	120.917488
GPR182	-0.97943815	0.346511837	-18.41092773	5.17E-56	5.01E-53	116.696919
CCBE1	-0.872150284	0.261105129	-17.99438547	3.67E-54	3.39E-51	112.4692725
CCL23	-1.044561125	0.572384272	-17.86893774	1.32E-53	1.17E-50	111.1983539
OIT3	-2.581920623	2.548502331	-17.81676365	2.25E-53	1.90E-50	110.6701198
ECM1	-2.305298787	1.787264233	-17.36390835	2.27E-51	1.84E-48	106.0945771
PVALB	-0.862143322	0.248730307	-17.31630947	3.69E-51	2.86E-48	105.614705
LRAT	-0.780575164	0.375875814	-17.28522164	5.06E-51	3.77E-48	105.3014068
SCAMP3	1.719925024	5.228579529	16.94771474	1.55E-49	1.11E-46	101.9063166
DDX41	1.156508765	3.999821589	16.92989203	1.86E-49	1.29E-46	101.7273662
TOMM40L	1.617287846	2.48817568	16.87411132	3.27E-49	2.19E-46	101.1675227
CCT3	1.656269909	6.275931616	16.83952042	4.64E-49	3.00E-46	100.8205262
USF1	1.301051588	4.402114643	16.71627498	1.61E-48	1.01E-45	99.58531658
VPS45	1.197928902	2.26833569	16.60221217	5.10E-48	3.09E-45	98.44374541
PCGF1	1.010380165	3.061471346	16.50832948	1.31E-47	7.72E-45	97.50534488
ADRA1A	-1.865020503	0.915309388	-16.50430992	1.37E-47	7.80E-45	97.46519237
CD34	1.643520906	2.246222171	16.48732201	1.62E-47	8.99E-45	97.29551815
FLAD1	1.37662875	3.668808144	16.47127069	1.91E-47	1.03E-44	97.13523244
KCNN2	-1.086392923	0.354569558	-16.43753297	2.68E-47	1.40E-44	96.79844193
BCO2	-1.687983478	0.85584573	-16.38622729	4.49E-47	2.29E-44	96.28656219
HHIP	-0.886117295	0.250003239	-16.34186706	7.01E-47	3.49E-44	95.84425841
CDK5RAP1	0.852283164	2.52408856	16.33117192	7.81E-47	3.78E-44	95.73765946
CFP	-0.235506704	0.102940752	-16.22946481	2.17E-46	1.03E-43	94.72471803
GPM6A	-0.838952475	0.298427716	-16.21128313	2.60E-46	1.20E-43	94.54378976
PCNX3	1.259151089	2.782141806	16.19732148	2.99E-46	1.35E-43	94.40488696
SMG5	1.771757326	4.506772462	16.08129759	9.58E-46	4.22E-43	93.2516492
IP6K1	1.231692776	3.046160867	16.00358357	2.09E-45	8.98E-43	92.48028961
LIFR	-1.533692406	0.993345482	-15.96266307	3.14E-45	1.32E-42	92.07448848
ENTREP3	1.645003638	2.715487089	15.91674328	4.97E-45	2.05E-42	91.61941088
DNAJB11	1.20147986	3.002494084	15.9135596	5.13E-45	2.07E-42	91.58787164
CDC37	1.068172333	5.192012998	15.89711524	6.05E-45	2.39E-42	91.42498963
PPOX	1.175668124	2.173814642	15.86548762	8.29E-45	3.21E-42	91.11183382
LYVE1	-1.95654489	1.137007925	-15.83049451	1.18E-44	4.47E-42	90.76553591
KAT2A	1.754246193	3.615203136	15.82364018	1.26E-44	4.69E-42	90.69772671
DAP3	1.216122361	4.596145761	15.79685552	1.64E-44	6.01E-42	90.43281932
PYGO2	1.571799948	3.742878853	15.79351822	1.70E-44	6.10E-42	90.39982045
AADAT	-2.097010701	1.743255755	-15.77901433	1.96E-44	6.92E-42	90.25642813
PRCC	1.370613717	3.935875341	15.77330798	2.08E-44	7.20E-42	90.20002156
NPLOC4	1.285451168	3.654661023	15.74751213	2.69E-44	9.15E-42	89.94509767
DBH	-2.066675983	1.330293636	-15.67309449	5.64E-44	1.89E-41	89.21027605
DEDD	1.073643247	3.312794063	15.64143651	7.73E-44	2.54E-41	88.8979496
HAMP	-4.823642882	2.49876746	-15.63305749	8.41E-44	2.72E-41	88.81531274
PZP	-2.440572265	0.766560818	-15.62602421	9.01E-44	2.86E-41	88.74595704
MCRS1	1.230799743	3.607113304	15.62057968	9.52E-44	2.97E-41	88.69227376
DIPK2B	1.013343399	1.177543283	15.57519235	1.49E-43	4.60E-41	88.24494508
SEMA3F	1.248630729	2.242805812	15.56484914	1.66E-43	5.01E-41	88.14305268
HMGXB3	1.135559118	2.57669885	15.55925042	1.75E-43	5.22E-41	88.08790649
MSTO1	1.21654428	1.685135023	15.49974666	3.16E-43	9.28E-41	87.50213548
TAFAZZIN	1.13163898	2.218794854	15.49659726	3.26E-43	9.43E-41	87.47114879
SNAPIN	1.178676288	4.184751313	15.43576547	5.96E-43	1.70E-40	86.87296565
ILF2	1.492251431	5.620712562	15.41123569	7.60E-43	2.14E-40	86.63193679
ATP6AP1	1.270325567	4.530611499	15.38660227	9.70E-43	2.69E-40	86.38999598
PRKRIP1	1.121170668	2.555932025	15.37990342	1.04E-42	2.83E-40	86.32422079
LRRC14	1.23166383	1.955825203	15.36727921	1.17E-42	3.16E-40	86.20028673
UFD1	0.946955407	2.398831321	15.35459898	1.33E-42	3.54E-40	86.07583133
NR2C2AP	1.426486531	2.643820259	15.34091001	1.53E-42	4.00E-40	85.94150734
MT1H	-4.866036801	2.249366258	-15.32076175	1.86E-42	4.80E-40	85.74386222
DCTN2	1.050455897	2.869757032	15.31972474	1.88E-42	4.80E-40	85.7336916
SLC25A39	1.292102986	5.488387252	15.29015001	2.52E-42	6.34E-40	85.44371519
SLC26A6	1.639805844	1.941646031	15.24383051	3.98E-42	9.90E-40	84.98987773
VPS72	1.494244341	4.334532299	15.23769389	4.23E-42	1.04E-39	84.92978074
PEA15	1.646726985	5.11743055	15.23175399	4.49E-42	1.09E-39	84.87161678
GPAA1	1.780057971	5.804635193	15.22184941	4.95E-42	1.18E-39	84.77464499
SNRNP70	1.344249163	4.771482524	15.20074126	6.10E-42	1.44E-39	84.56804386
PLOD3	1.452927454	4.386213555	15.19104844	6.71E-42	1.57E-39	84.47320072
POLR2K	1.362629103	4.763608136	15.14555085	1.05E-41	2.42E-39	84.02824653
UBE2Q1	1.240293378	4.299355965	15.12393626	1.30E-41	2.96E-39	83.81699791
PSMC4	1.174380378	5.24436577	15.09908564	1.66E-41	3.74E-39	83.57423163
RABIF	1.107388055	2.545855464	15.07883472	2.03E-41	4.52E-39	83.37648687
ANAPC7	1.125412651	2.479863	15.04745438	2.76E-41	6.04E-39	83.07022166
PIGU	1.414010984	3.279482079	15.0469841	2.77E-41	6.04E-39	83.06563324
GBA1	1.688916572	4.2416262	15.03029797	3.27E-41	7.04E-39	82.90285914
NECAB3	1.580502541	3.177063805	15.01922044	3.65E-41	7.77E-39	82.79482709
ZNF692	1.526357656	2.417534917	15.01642552	3.75E-41	7.90E-39	82.76757379
NAT9	1.365404894	2.764321227	15.01015656	3.99E-41	8.31E-39	82.70645055
SUGP1	0.825764019	2.551068742	14.99881986	4.46E-41	9.19E-39	82.59593572
SNRPE	1.567374123	4.565830151	14.98948513	4.88E-41	9.88E-39	82.50495566
PSMD4	1.536438127	6.187914571	14.98869328	4.92E-41	9.88E-39	82.49723879
AP5Z1	1.190924579	2.29400244	14.98820005	4.95E-41	9.88E-39	82.49243216
AKIP1	1.103910415	2.777954396	14.97603929	5.57E-41	1.10E-38	82.37393724
IK	0.95671987	4.320203427	14.95305372	6.99E-41	1.37E-38	82.15004441
PSMB4	1.286339854	6.973715458	14.94544642	7.53E-41	1.46E-38	82.07596781
MEA1	1.235558187	3.975045393	14.90557662	1.11E-40	2.12E-38	81.68792109
STX10	1.32719679	4.30090054	14.90528042	1.12E-40	2.12E-38	81.68503938
MANBAL	1.187973261	4.223340253	14.90338811	1.14E-40	2.14E-38	81.66662982
NSMCE2	1.475908213	2.835990318	14.84945266	1.93E-40	3.60E-38	81.14221453
DDX49	1.236065856	3.829467887	14.84490063	2.02E-40	3.73E-38	81.09798194
QARS1	1.155577592	4.866773702	14.83875189	2.14E-40	3.92E-38	81.03824069
CNDP1	-1.995189965	0.838507976	-14.82134698	2.54E-40	4.61E-38	80.86917582
DNASE1L3	-2.597871413	2.403718141	-14.8129461	2.76E-40	4.96E-38	80.78759495
PPIA	1.192414825	5.385054641	14.80723587	2.92E-40	5.19E-38	80.73215117
NSUN5	1.188188794	2.946225229	14.71125139	7.47E-40	1.32E-37	79.80119209
C1orf35	1.290139505	2.287994229	14.69980377	8.35E-40	1.46E-37	79.69028898
PPM1F	0.978895037	1.784465379	14.6716165	1.10E-39	1.90E-37	79.417332
NABP2	1.309967061	3.615199632	14.6661279	1.16E-39	1.99E-37	79.36420151
OXA1L	0.860738173	4.774030761	14.66552472	1.17E-39	1.99E-37	79.35836307
CETP	-1.734034812	1.377331428	-14.65992401	1.23E-39	2.08E-37	79.30415467
CCT6A	1.357930177	5.041718011	14.63897493	1.51E-39	2.53E-37	79.10145104
PLPPR2	1.408777269	3.048353131	14.63731454	1.54E-39	2.55E-37	79.08538908
TMCO1	1.09973408	4.849991398	14.61406083	1.93E-39	3.17E-37	78.86050372
KXD1	0.909806017	2.656380308	14.59702485	2.28E-39	3.71E-37	78.69582321
UBE2T	2.05630972	2.272441465	14.58809653	2.49E-39	4.01E-37	78.6095415
EIF2B1	0.90294658	3.555025032	14.57663131	2.78E-39	4.45E-37	78.49876874
PSMB5	0.958342411	6.010382054	14.56608207	3.08E-39	4.89E-37	78.39687109
NELFE	1.717574657	4.512653174	14.56279369	3.18E-39	5.01E-37	78.36511267
SLC41A3	1.090799521	2.532611798	14.55958914	3.28E-39	5.13E-37	78.33416621
PIGC	1.26334786	2.690509151	14.54504155	3.78E-39	5.86E-37	78.19370762
ADGRG7	-1.429534601	0.856452253	-14.54170866	3.91E-39	6.01E-37	78.16153472
POLM	0.933221595	2.058331803	14.53855769	4.03E-39	6.15E-37	78.13112017
ALG3	1.123478331	4.446478715	14.5244466	4.62E-39	6.95E-37	77.99494014
KLHL12	1.201874027	3.27107422	14.52432057	4.63E-39	6.95E-37	77.99372405
HARS2	0.967178397	2.663025537	14.51974338	4.84E-39	7.21E-37	77.94956105
EDC3	0.994171784	2.11882641	14.50036341	5.84E-39	8.64E-37	77.76262452
ELOVL1	1.293505072	4.324963126	14.4967906	6.05E-39	8.88E-37	77.72817068
SCNM1	1.488590954	2.916005735	14.47858001	7.22E-39	1.05E-36	77.5526036
ANKZF1	1.062876413	2.341941028	14.47562217	7.43E-39	1.07E-36	77.52409426
RFXANK	1.340048582	3.041006987	14.44262245	1.02E-38	1.47E-36	77.20615527
TMEM79	0.866727625	1.387718817	14.43388783	1.11E-38	1.59E-36	77.12204133
SH3BP5L	1.162247404	2.733921045	14.43119819	1.14E-38	1.62E-36	77.09614366
REPIN1	1.27507395	4.643061176	14.42412351	1.23E-38	1.72E-36	77.02803166
RECQL5	0.988740033	1.976150523	14.42235545	1.25E-38	1.74E-36	77.01101131
GMNN	2.156125441	3.610068946	14.41492374	1.34E-38	1.86E-36	76.93947698
MUS81	0.856934045	2.167288106	14.41303935	1.36E-38	1.88E-36	76.92134071
TTC13	1.261813512	2.074036177	14.40121894	1.53E-38	2.09E-36	76.80759331
FASTK	1.19113411	4.479791951	14.39848651	1.57E-38	2.13E-36	76.78130375
SF3B4	1.556765406	5.316831079	14.382859	1.83E-38	2.46E-36	76.63097884
SNRPC	1.380461797	5.897316665	14.37717473	1.93E-38	2.58E-36	76.57631419
AARS2	1.016411846	2.329388878	14.36802069	2.11E-38	2.80E-36	76.48829664
POLR2G	1.117696696	4.282262528	14.34484879	2.64E-38	3.49E-36	76.26558047
CYP1A2	-5.080960298	2.680881328	-14.33739967	2.84E-38	3.72E-36	76.19400941
EIF2D	1.053368714	2.949272171	14.33392271	2.94E-38	3.82E-36	76.16060715
ZNF335	0.86897543	1.782349878	14.32253079	3.28E-38	4.24E-36	76.05118737
MT1F	-3.906338672	2.656142402	-14.31558008	3.51E-38	4.51E-36	75.98444017
GNPAT	1.316375223	4.35447223	14.30753937	3.80E-38	4.84E-36	75.90723974
PDZD11	1.165818125	4.325378028	14.30552257	3.87E-38	4.90E-36	75.8878783
C8orf33	1.50575826	3.49375752	14.30252047	3.99E-38	5.02E-36	75.85905972
UFC1	1.271021155	5.062462457	14.28927816	4.53E-38	5.67E-36	75.73196543
CHTOP	1.057650345	3.36516465	14.28642502	4.66E-38	5.79E-36	75.70458748
CHRM2	-0.163546622	0.039860574	-14.28085958	4.92E-38	6.07E-36	75.65118838
BLOC1S3	1.119650876	2.329428812	14.27920579	4.99E-38	6.13E-36	75.63532204
TBC1D16	1.4101024	2.06568018	14.26870854	5.53E-38	6.74E-36	75.53462705
CUL7	1.268401792	2.408222819	14.25698094	6.19E-38	7.50E-36	75.42216016
TRMT1	1.238750919	3.229541038	14.23756302	7.47E-38	9.00E-36	75.2360142
TMEM120B	0.654150545	0.951553821	14.23332959	7.79E-38	9.32E-36	75.19544289
CPSF3	0.945771382	3.094542341	14.20945607	9.81E-38	1.16E-35	74.96672886
B4GALT7	1.070355634	2.753539047	14.20925905	9.82E-38	1.16E-35	74.96484189
FIBP	1.006373729	3.556306327	14.19981576	1.08E-37	1.26E-35	74.87441039
DDX39A	1.674609287	3.647105358	14.19870006	1.09E-37	1.27E-35	74.86372749
MRGBP	1.172589411	2.810664015	14.17944259	1.31E-37	1.52E-35	74.67938299
ARPC5	1.1624347	3.817766723	14.16876553	1.45E-37	1.68E-35	74.57721345
ILF3	1.275488739	3.607242981	14.14952187	1.75E-37	2.01E-35	74.39313787
TAOK2	1.02014763	2.602903201	14.14110917	1.90E-37	2.16E-35	74.31269372
COPZ1	0.92258781	5.055322549	14.1381822	1.95E-37	2.21E-35	74.28470937
STIP1	1.388791277	4.500125292	14.11292162	2.49E-37	2.81E-35	74.04328164
IRGQ	0.8859521	1.659524973	14.09626405	2.92E-37	3.28E-35	73.88416106
CDK5	1.1904489	2.974702354	14.09265052	3.03E-37	3.37E-35	73.84965187
FAM220A	1.02943196	2.388325604	14.09070605	3.08E-37	3.42E-35	73.83108342
IRAK1	1.698780014	4.658726282	14.08995775	3.11E-37	3.42E-35	73.82393792
RPN2	1.07204281	6.961229889	14.0870087	3.20E-37	3.50E-35	73.79577872
TSPAN17	1.160692141	2.888987665	14.08521558	3.25E-37	3.54E-35	73.77865806
PYCR2	1.248445327	3.108917125	14.08154215	3.37E-37	3.65E-35	73.74358668
RCAN1	-1.752359018	2.934750809	-14.08007741	3.42E-37	3.68E-35	73.7296032
COA6	1.413650794	3.352186522	14.07059652	3.74E-37	4.01E-35	73.63910454
ZNF282	1.096953737	2.989612636	14.06630481	3.90E-37	4.15E-35	73.59814575
HDGFL2	1.141484034	3.657619613	14.06336634	4.01E-37	4.25E-35	73.57010449
LEMD2	1.079219297	2.726776775	14.06100213	4.11E-37	4.33E-35	73.54754476
STX4	0.98757878	3.407612555	14.06002196	4.14E-37	4.34E-35	73.53819214
CSRNP1	-1.584651305	3.308189682	-14.05166678	4.49E-37	4.68E-35	73.45847844
MARK4	1.18581912	2.782406802	14.0413464	4.96E-37	5.14E-35	73.36003896
DHX34	1.190281989	2.237103288	14.01996806	6.09E-37	6.28E-35	73.15620757
TELO2	1.054534188	2.949477205	14.00910509	6.76E-37	6.94E-35	73.05267778
LMNA	1.406956324	5.442725972	14.00716905	6.89E-37	7.03E-35	73.03422937
ZNF526	0.732901019	1.454279816	14.00620524	6.96E-37	7.06E-35	73.02504558
SPTAN1	1.144336363	3.722915741	14.0054482	7.01E-37	7.07E-35	73.0178322
LAMTOR1	1.015142724	4.700963444	14.0003229	7.36E-37	7.39E-35	72.96900012
PIGT	1.040067292	2.874282965	13.99951911	7.42E-37	7.41E-35	72.96134242
CPEB3	-1.22674616	1.256958277	-13.99039952	8.10E-37	8.05E-35	72.87447194
NHP2	1.272559137	3.980949302	13.98914797	8.20E-37	8.10E-35	72.8625517
DAXX	1.155017352	3.922341734	13.96352749	1.05E-36	1.03E-34	72.61861667
CNIH4	1.286624199	2.846001586	13.9622182	1.06E-36	1.03E-34	72.60615518
EHMT2	1.319621014	2.325147896	13.96209167	1.06E-36	1.03E-34	72.60495086
HM13	1.141331771	4.498736528	13.96200213	1.06E-36	1.03E-34	72.6040987
GET3	1.136473029	5.037190979	13.9436023	1.27E-36	1.22E-34	72.42901975
SSR2	1.594749468	4.699062168	13.93327381	1.40E-36	1.34E-34	72.33077873
DIRAS3	-1.320834772	0.676545844	-13.92569365	1.51E-36	1.44E-34	72.25869573
PDAP1	0.94113869	4.856602086	13.92465684	1.52E-36	1.45E-34	72.24883739
PPM1G	1.114363909	4.49804817	13.91965553	1.60E-36	1.51E-34	72.201287
CYP26A1	-1.161062022	0.378345115	-13.91873673	1.61E-36	1.52E-34	72.19255217
AURKA	1.984949229	2.461857472	13.91681168	1.64E-36	1.54E-34	72.1742517
HSPA4	1.105745348	4.529326798	13.91275714	1.71E-36	1.59E-34	72.13571033
TIMD4	-1.41244352	0.599698087	-13.89684993	1.99E-36	1.84E-34	71.9845405
USP21	1.212891804	2.232365144	13.8963916	2.00E-36	1.84E-34	71.98018587
CEP131	1.375865207	1.958217888	13.88924705	2.14E-36	1.96E-34	71.91231123
COP1	1.105922596	3.548092938	13.88818038	2.16E-36	1.97E-34	71.90217876
DYNLL1	1.196072865	5.328236415	13.88511851	2.22E-36	2.02E-34	71.87309515
ZNF174	0.749884883	1.505013967	13.88491268	2.23E-36	2.02E-34	71.87114005
UBAP2L	1.401207853	3.750930494	13.87479115	2.46E-36	2.21E-34	71.77501669
SCRIB	1.594488298	3.686617065	13.86949073	2.58E-36	2.32E-34	71.72468929
NOL7	1.128206506	4.20981988	13.85414245	2.99E-36	2.67E-34	71.57899803
THY1	1.816891924	2.24276126	13.85393568	3.00E-36	2.67E-34	71.57703569
VPS16	0.939598487	3.037191001	13.83018046	3.76E-36	3.33E-34	71.3516624
FEN1	1.772206815	3.463509613	13.78454959	5.82E-36	5.13E-34	70.91915337
SART1	0.93917035	3.907856535	13.77321856	6.49E-36	5.69E-34	70.81183616
TRAF2	1.35180193	2.86991646	13.7704886	6.66E-36	5.82E-34	70.78598539
INO80E	0.999568772	2.348710501	13.75896943	7.44E-36	6.46E-34	70.67692857
FOSB	-2.67765218	1.752201081	-13.75652587	7.61E-36	6.59E-34	70.65379874
BANF1	1.090780335	5.97649803	13.75194305	7.95E-36	6.85E-34	70.61042371
AKAP8L	0.995818189	2.221380765	13.73447166	9.40E-36	8.06E-34	70.4451124
BLTP2	1.219712498	2.628813898	13.73208613	9.61E-36	8.21E-34	70.4225471
ACBD6	1.133426565	2.199685113	13.72981623	9.82E-36	8.35E-34	70.40107698
AAAS	0.851813675	3.005504637	13.72285288	1.05E-35	8.89E-34	70.33522163
NAT2	-2.891942314	2.18252391	-13.72018012	1.08E-35	9.08E-34	70.30994755
CLK2	1.32163595	3.077847478	13.71287632	1.15E-35	9.69E-34	70.24089114
CCHCR1	1.425975634	2.583726068	13.71157266	1.17E-35	9.77E-34	70.22856672
SAC3D1	1.452535259	3.024576324	13.70264807	1.27E-35	1.06E-33	70.14420805
RHEB	1.058916398	3.944792342	13.7021057	1.28E-35	1.06E-33	70.13908205
LSM4	1.414691608	4.942015582	13.70125394	1.29E-35	1.06E-33	70.13103209
DUSP12	1.171190601	2.635466941	13.69803717	1.33E-35	1.09E-33	70.1006322
DTYMK	1.531272986	3.317196688	13.68861478	1.46E-35	1.19E-33	70.01160228
PFDN6	1.392926607	4.108975787	13.68221126	1.55E-35	1.26E-33	69.95111035
AATF	1.076909773	3.507345553	13.67987431	1.58E-35	1.28E-33	69.92903658
ZC3H3	1.37240813	3.174869057	13.64895036	2.12E-35	1.71E-33	69.63707977
COL6A6	-0.166916637	0.050653233	-13.6488449	2.13E-35	1.71E-33	69.63608455
MRPS21	1.395919079	5.49506964	13.63975665	2.32E-35	1.86E-33	69.55032971
SLC39A7	1.337122589	5.920379865	13.63060633	2.53E-35	2.02E-33	69.46401146
COMMD4	1.162455041	3.529543619	13.62043438	2.79E-35	2.21E-33	69.36808206
SLC39A13	1.051545615	2.872354448	13.60622901	3.19E-35	2.52E-33	69.23416062
PTGES3	1.002324319	6.076321147	13.60544961	3.21E-35	2.53E-33	69.22681442
PDCD5	1.27176	4.376112829	13.6047184	3.24E-35	2.54E-33	69.2199225
HSP90AB1	1.491992119	8.196828361	13.60055734	3.37E-35	2.63E-33	69.18070601
XRCC1	1.113981402	2.9336381	13.59293956	3.62E-35	2.82E-33	69.10892307
DENND4B	1.194931861	2.367382038	13.5913339	3.68E-35	2.85E-33	69.09379477
ABHD12	1.206844546	3.952571081	13.58057513	4.07E-35	3.14E-33	68.99244541
