ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
TCGA-DD-A1EL-11A-11R-A155-07	0.286631081	0.845980219	0.379186442	0.515634179	5.096900548	0.67747382	-5.189923052	Normal
TCGA-DD-A39X-11A-11R-A213-07	0.320170119	0.782064042	0.727232828	0.465525069	4.992806527	0.658588002	-4.768907135	Normal
TCGA-BC-A216-11A-11R-A155-07	0.422614706	1.175419258	0.548267251	0.678547775	5.54150315	1.037039874	-5.056654608	Normal
TCGA-FV-A2QR-11A-11R-A213-07	0.377334644	0.687171837	0.572842898	0.961778264	4.293942963	1.949351053	0.712773954	Normal
TCGA-BD-A3EP-11A-12R-A22L-07	0.334587971	1.119724615	0.150752459	1.108582586	5.493936123	1.119846785	-3.431500898	Normal
TCGA-DD-A1EG-11A-11R-A213-07	0.452447413	1.239484798	0.551067361	0.941696089	5.01733835	2.030505591	-1.3388799	Normal
TCGA-FV-A23B-11A-11R-A16W-07	0.434853194	0.729606112	0.610377846	0.775859048	4.826062582	1.523192004	-1.905317987	Normal
TCGA-DD-A3A2-11A-11R-A213-07	0.328082493	0.920303481	0.870084293	0.176907829	5.19333889	1.234789272	-5.632429267	Normal
TCGA-DD-A3A8-11A-11R-A22L-07	0.455167699	1.683976309	0.595373671	1.100548706	5.175580014	0.926088161	-2.763858081	Normal
TCGA-DD-A39V-11A-11R-A213-07	0.54266276	1.191882371	0.455730367	0.349201707	5.601539469	0.974025514	-6.706133697	Normal
TCGA-FV-A3I1-11A-11R-A22L-07	0.338801861	0.900215905	0.366777971	0.397154205	5.539525712	0.923460322	-6.456839607	Normal
TCGA-EP-A26S-11A-12R-A16W-07	0.19924801	1.05311847	0.580185806	0.409537581	5.555675744	1.17471926	-6.064340662	Normal
TCGA-DD-A39W-11A-11R-A213-07	0.187216147	1.13715972	0.512203799	0	5.089451867	1.177109948	-6.762691757	Normal
TCGA-EP-A3RK-11A-11R-A22L-07	0.374383023	0.926631795	0.885472464	0.216960287	5.11571304	1.528807118	-4.837978459	Normal
TCGA-DD-A39Z-11A-21R-A213-07	0.380185284	1.207358025	0.722001841	0.622425127	3.407003143	2.014453887	1.39652499	Normal
