#ID = reference ID
#GeneID = EntrezGene ID
#REFSEQ = RefSeq ID
#GB_ACC = GenBank accession number
#Symbol = Gene symbol
#Description = Description
#OMIM = OMIM ID
#chromosome = chromosome number
#map.location = location on the chromosome
ID	GeneID	REFSEQ	GB_ACC	Symbol	Description	OMIM	chromosome	map.location
DAP1_0003	2760	NM_000405 ; NP_000396	NM_000405	GM2A	GM2 ganglioside activator	272750	5	5q31.3-q33.1
DAP1_0010	10121	NM_005736 ; NP_005727	NM_005736	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	605143	10	10q24.32
DAP1_0021	2146	NM_004456 ; NP_004447 ; NM_152998 ; NP_694543	NM_004456	EZH2	enhancer of zeste homolog 2 (Drosophila)	601573	7	7q35-q36
DAP1_0023	3384	NM_000873 ; NP_000864	NM_000873	ICAM2	intercellular adhesion molecule 2	146630	17	17q23-q25
DAP1_0027	1687	NM_004403 ; NP_004394	NM_004403	DFNA5	deafness, autosomal dominant 5	600994 ; 608798	7	7p15
DAP1_0028	9472	NM_004274 ; NP_004265	NM_004274	AKAP6	A kinase (PRKA) anchor protein 6	604691	14	14q13.1
DAP1_0030	9917	NM_014864 ; NP_055679	NM_014864	FAM20B	family with sequence similarity 20, member B	NA	1	1q25
DAP1_0031	5425	NM_006230 ; NP_006221	NM_006230	POLD2	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	600815	7	7p13
DAP1_0033	3762	NM_000890 ; NP_000881	NM_000890	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	600734	11	11q24
DAP1_0036	5638	NM_000950 ; NP_000941	NM_000950	PRRG1	proline rich Gla (G-carboxyglutamic acid) 1	604428	X	Xp21.1
DAP1_0038	81855	NM_030971 ; NP_112233	NM_030971	SFXN3	sideroflexin 3	NA	10	10q24.31
DAP1_0040	10412	NM_014886 ; NP_055701	NM_014886	TINP1	NA	NA	5	5q13.3
DAP1_0041	10912	NM_006705 ; NP_006696	NM_006705	GADD45G	growth arrest and DNA-damage-inducible, gamma	604949	9	9q22.1-q22.2
DAP1_0042	758	XM_936442 ; XP_941535 ; NM_001585 ; NP_001576 ; NM_001044370 ; NP_001037835	XM_936442	MPPED1	metallophosphoesterase domain containing 1	602112	22	22q13.31
DAP1_0050	8661	NM_003750 ; NP_003741	NM_003750	EIF3S10	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	602039	10	10q26
DAP1_0051	8424	NM_003986 ; NP_003977	NM_003986	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	603312	11	11p14.2
DAP1_0054	6925	NM_001083962 ; NP_001077431 ; NM_003199 ; NP_003190	NM_001083962	TCF4	transcription factor 4	602272	18	18q21.1
DAP1_0056	1316	NM_001008490 ; NP_001008490 ; NM_001300 ; NP_001291	NM_001008490	KLF6	Kruppel-like factor 6	137215 ; 176807 ; 602053	10	10p15
DAP1_0061	10326	NM_001083910 ; NP_001077379 ; NM_006065 ; NP_006056	NM_001083910	SIRPB1	signal-regulatory protein beta 1	603889	20	20p13
DAP1_0062	266	NM_001143 ; NP_001134	NM_001143	AMELY	amelogenin, Y-linked	410000	Y	Yp11.2
DAP1_0063	2990	NM_000181 ; NP_000172	NM_000181	GUSB	glucuronidase, beta	253220	7	7q21.11
DAP1_0066	9694	NM_014673 ; NP_055488	NM_014673	TTC35	tetratricopeptide repeat domain 35	607722	8	8q23.1
DAP1_0067	23111	NM_015087 ; NP_055902	NM_015087	SPG20	spastic paraplegia 20 (Troyer syndrome)	275900 ; 607111	13	13q13.3
DAP1_0069	6769	NM_003149 ; NP_003140	NM_003149	STAC	SH3 and cysteine rich domain	602317	3	3p22.3
DAP1_0070	4841	NM_007363 ; NP_031389	NM_007363	NONO	non-POU domain containing, octamer-binding	300084	X	Xq13.1
DAP1_0074	6257	NM_021976 ; NP_068811	NM_021976	RXRB	retinoid X receptor, beta	180246	6	6p21.3
DAP1_0075	1302	NM_080679 ; NP_542410 ; NM_080680 ; NP_542411 ; NM_080681 ; NP_542412	NM_080679	COL11A2	collagen, type XI, alpha 2	120290 ; 184840 ; 215150 ; 277610 ; 601868	6	6p21.3
DAP1_0080	4923	NM_002531 ; NP_002522	NM_002531	NTSR1	neurotensin receptor 1 (high affinity)	162651	20	20q13
DAP1_0087	3687	XM_001127869 ; XP_001127869 ; NM_000887 ; NP_000878	XM_001127869	ITGAX	integrin, alpha X (complement component 3 receptor 4 subunit)	151510	16	16p11.2
DAP1_0096	3126	XM_940103 ; XP_945196 ;  ; NM_021983 ; NP_068818	XM_940103	HLA-DRB4	major histocompatibility complex, class II, DR beta 4	NA	6	6p21.3
DAP1_0101	64919	NM_022898 ; NP_075049 ; NM_138576 ; NP_612808	NM_022898	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	606558	14	14q32.2
DAP1_0102	7247	NM_004622 ; NP_004613	NM_004622	TSN	translin	600575	2	2q21.1
DAP1_0103	55669	NM_033540 ; NP_284941	NM_033540	MFN1	mitofusin 1	608506	3	3q26.32
DAP1_0105	6373	NM_005409 ; NP_005400	NM_005409	CXCL11	chemokine (C-X-C motif) ligand 11	604852	4	4q21.2
DAP1_0109	1909	NM_001957 ; NP_001948	NM_001957	EDNRA	endothelin receptor type A	131243 ; 157300	4	4q31.23
DAP1_0110	22943	NM_012242 ; NP_036374	NM_012242	DKK1	dickkopf homolog 1 (Xenopus laevis)	605189	10	10q11.2
DAP1_0111	26578	NM_012383 ; NP_036515	NM_012383	OSTF1	osteoclast stimulating factor 1	610180	9	9q13-q21.2
DAP1_0113	8813	NM_003859 ; NP_003850	NM_003859	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	603503 ; 608799	20	20q13.13
DAP1_0119	3823	NM_002261 ; NP_002252 ; NM_007333 ; NP_031359	NM_002261	KLRC3	killer cell lectin-like receptor subfamily C, member 3	602892	12	12p13
DAP1_0121	3166	XM_001133154 ; XP_001133154 ; NM_018942 ; NP_061815	XM_001133154	HMX1	homeobox (H6 family) 1	142992	4	4p16.1
DAP1_0122	794	NM_001740 ; NP_001731 ; NM_007087 ; NP_009018 ; NM_007088 ; NP_009019	NM_001740	CALB2	calbindin 2, 29kDa (calretinin)	114051	16	16q22.2
DAP1_0124	6748	NM_006280 ; NP_006271	NM_006280	SSR4	signal sequence receptor, delta (translocon-associated protein delta)	300090	X	Xq28
DAP1_0125	2348	NM_000802 ; NP_000793 ; NM_016724 ; NP_057936 ; NM_016725 ; NP_057937 ; NM_016729 ; NP_057941 ; NM_016730 ; NP_057942 ; NM_016731 ; NP_057943	NM_000802	FOLR1	folate receptor 1 (adult)	136430	11	11q13.3-q14.1
DAP1_0130	978	NM_001785 ; NP_001776	NM_001785	CDA	cytidine deaminase	123920	1	1p36.2-p35
DAP1_0140	581	NM_004324 ; NP_004315 ; NM_138761 ; NP_620116 ; NM_138763 ; NP_620118 ; NM_138764 ; NP_620119 ; NM_138765 ; NP_620120	NM_004324	BAX	BCL2-associated X protein	600040	19	19q13.3-q13.4
DAP1_0147	1967	NM_001414 ; NP_001405	NM_001414	EIF2B1	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	603896 ; 606686	12	12q24.31
DAP1_0152	51035	NM_015853 ; NP_056937	NM_015853	LOC51035	NA	NA	11	11q12.3
DAP1_0153	6456	NM_003026 ; NP_003017	NM_003026	SH3GL2	SH3-domain GRB2-like 2	604465	9	9p22
DAP1_0154	7428	NM_000551 ; NP_000542 ; NM_198156 ; NP_937799	NM_000551	VHL	von Hippel-Lindau tumor suppressor	144700 ; 171300 ; 193300 ; 263400 ; 608537	3	3p26-p25
DAP1_0162	5546	NM_005973 ; NP_005964 ; NM_199416 ; NP_955448	NM_005973	PRCC	papillary renal cell carcinoma (translocation-associated)	179755 ; 605074	1	1q21.1
DAP1_0171	3983	NM_001003407 ; NP_001003407 ; NM_001003408 ; NP_001003408 ; NM_002313 ; NP_002304 ; NM_006720 ; NP_006711	NM_001003407	ABLIM1	actin binding LIM protein 1	602330	10	10q25
DAP1_0172	3119	NM_002123 ; NP_002114	NM_002123	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	123400 ; 126200 ; 222100 ; 604305	6	6p21.3
DAP1_0174	6558	NM_001046 ; NP_001037	NM_001046	SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	600840	5	5q23.3
DAP1_0178	3739	NM_002233 ; NP_002224	NM_002233	KCNA4	potassium voltage-gated channel, shaker-related subfamily, member 4	176266	11	11p14
DAP1_0182	9203	NM_005096 ; NP_005087 ; NM_201599 ; NP_963893	NM_005096	ZMYM3	zinc finger, MYM-type 3	300061	X	Xq13.1
